t,method,scenario,seed,reward,p_min,p_min_next,p_raw_urllc,p_safe_urllc,D_proj,urllc_violation,shield_corrected,sla,state_channel
0,M3_dynamic_no_aug,S4_sla_upgrade,42,1.4290968296441218,60,60,40,60,40.0,0,1,0.99,1.0
1,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9244777267080715,70,70,80,80,0.0,0,0,0.99,1.0452339333496368
2,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9770488920147118,70,70,20,70,100.0,0,1,0.99,0.9550748850931611
3,M3_dynamic_no_aug,S4_sla_upgrade,42,1.4421450784359864,60,60,40,60,40.0,0,1,0.99,1.0254897068727953
4,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9729448893502423,80,80,80,80,0.0,0,0,0.99,1.0599132132404847
5,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0162983970467594,70,70,80,80,0.0,0,0,0.99,1.064126001038045
6,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9854435473597818,60,60,80,80,0.0,0,0,0.99,1.1616713933552087
7,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0272104136013667,70,70,80,80,0.0,0,0,0.99,1.092247981559509
8,M3_dynamic_no_aug,S4_sla_upgrade,42,0.978327402880909,60,60,80,80,0.0,0,0,0.99,1.1862234306030752
9,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0376348451191313,80,80,80,80,0.0,0,0,0.99,1.0762366564820454
10,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0293556747032937,60,60,80,80,0.0,0,0,0.99,1.2096784015180455
11,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0415622046159294,70,70,80,80,0.0,0,0,0.99,1.1910502680824109
12,M3_dynamic_no_aug,S4_sla_upgrade,42,1.030043550826051,70,70,80,80,0.0,0,0,0.99,1.218514960385841
13,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0407135300489982,70,70,80,80,0.0,0,0,0.99,1.192597989358615
14,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.521808535840033,80,80,80,80,0.0,1,0,0.99,1.216605442610246
15,M3_dynamic_no_aug,S4_sla_upgrade,42,1.228976594560386,70,70,40,70,60.0,0,1,0.99,1.0759307943599257
16,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9661930150059068,80,80,80,80,0.0,0,0,0.99,1.093464891840579
17,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,80,100,40.0,0,1,0.99,1.0489342837632905
18,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0112634514292234,70,70,80,80,0.0,0,0,0.99,1.0433510746984884
19,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9758454482522687,60,60,80,80,0.0,0,0,0.99,1.1503427657157526
20,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9261392682770758,70,70,80,80,0.0,0,0,0.99,1.0706522585676046
21,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,90,90,100,100,0.0,0,0,0.99,0.9588133536234206
22,M3_dynamic_no_aug,S4_sla_upgrade,42,0.8404788375878016,80,80,20,80,120.0,0,1,0.99,0.9166836815320555
23,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,100,100,0.0,0,0,0.99,0.989933773496741
24,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,90,90,100,100,0.0,0,0,0.99,1.0136321575051057
25,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.8928590854416125,90,90,20,90,140.0,1,1,0.99,0.9366570974030918
26,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.7945816097343754
27,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6644925123657246,90,90,20,90,140.0,0,1,0.99,0.8961268580314486
28,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8447948391359215
29,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.8715621431016252,90,90,20,90,140.0,1,1,0.99,0.8613345937670027
30,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.7705988185041612
31,M3_dynamic_no_aug,S4_sla_upgrade,42,-2.0,100,100,100,100,0.0,1,0,0.99,0.8037133200971724
32,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8397068218838721
33,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8506216292414686
34,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8728825460883969
35,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6571535926100585,90,90,20,90,140.0,0,1,0.99,0.909242522133231
36,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6599199601117733,90,90,20,90,140.0,0,1,0.99,0.9206572328499801
37,M3_dynamic_no_aug,S4_sla_upgrade,42,-2.0,100,100,100,100,0.0,1,0,0.99,0.9865757057740331
38,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8961120793255951
39,M3_dynamic_no_aug,S4_sla_upgrade,42,0.8888281409002949,80,80,20,80,120.0,0,1,0.99,0.9380806349305357
40,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,80,80,100,100,0.0,0,0,0.99,0.9934291784537981
41,M3_dynamic_no_aug,S4_sla_upgrade,42,1.2037492824617684,70,70,40,70,60.0,0,1,0.99,1.038559308850764
42,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.786190404529805,90,90,80,90,20.0,1,1,0.99,1.0556239236926523
43,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,100,100,0.0,0,0,0.99,0.9621431796158781
44,M3_dynamic_no_aug,S4_sla_upgrade,42,0.7441310835463015,90,90,80,90,20.0,0,1,0.99,1.0854925215644056
45,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0304647592895047,80,80,80,80,0.0,0,0,0.99,1.0985898759583568
46,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0027987881457947,70,70,80,80,0.0,0,0,0.99,1.1935457084013854
47,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9718145724012995,60,60,80,80,0.0,0,0,0.99,1.131297273328038
48,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,90,90,100,100,0.0,0,0,0.99,1.061582787902924
49,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9801775661174879,70,70,80,80,0.0,0,0,0.99,1.0882950132137574
50,M3_dynamic_no_aug,S4_sla_upgrade,42,1.0309355810988792,80,80,80,80,0.0,0,0,0.99,1.0803995237643476
51,M3_dynamic_no_aug,S4_sla_upgrade,42,1.016388690779598,70,70,80,80,0.0,0,0,0.99,1.194605057472478
52,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.5054854690711796,80,80,80,80,0.0,1,0,0.99,1.1618745542540958
53,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.5339174630887358,80,80,80,80,0.0,1,0,0.99,1.1126576945898459
54,M3_dynamic_no_aug,S4_sla_upgrade,42,0.669894958569744,90,90,20,90,140.0,0,1,0.99,1.0486857080503444
55,M3_dynamic_no_aug,S4_sla_upgrade,42,0.7442353905980268,90,90,80,90,20.0,0,1,0.99,1.1067192420851497
56,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.3634473638635036,70,70,60,70,20.0,1,1,0.99,1.0990592576911205
57,M3_dynamic_no_aug,S4_sla_upgrade,42,0.7318106239395107,90,90,80,90,20.0,0,1,0.99,1.0514541239116975
58,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,100,100,0.0,0,0,0.99,1.043147807727798
59,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,100,100,0.0,0,0,0.99,1.0285682951131974
60,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,90,90,100,100,0.0,0,0,0.99,1.0209175424447086
61,M3_dynamic_no_aug,S4_sla_upgrade,42,0.7226702193814585,90,90,80,90,20.0,0,1,0.99,1.0386196197845918
62,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,100,100,0.0,0,0,0.99,1.0020159872165633
63,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9296308440613954,70,70,80,80,0.0,0,0,0.99,1.0470462828483944
64,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6527718244604735,90,90,20,90,140.0,0,1,0.99,0.9666693991381398
65,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6696752080278572,90,90,20,90,140.0,0,1,0.99,0.9490579740196946
66,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.7048344240578694,80,80,20,80,120.0,1,1,0.99,1.0072895183607375
67,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,30,100,140.0,0,1,0.99,0.8176715832607845
68,M3_dynamic_no_aug,S4_sla_upgrade,42,-2.0,100,100,30,100,140.0,1,1,0.99,0.8645844181792814
69,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8442957849389251
70,M3_dynamic_no_aug,S4_sla_upgrade,42,-2.0,100,100,30,100,140.0,1,1,0.99,0.8222347634107013
71,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,30,100,140.0,0,1,0.99,0.7665114895286609
72,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,20,100,160.0,0,1,0.99,0.8918462745861245
73,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,30,100,140.0,0,1,0.99,0.9129942859749685
74,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.8585726245316976,90,90,30,90,120.0,1,1,0.99,0.9608006875899359
75,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6308059765101829,90,90,20,90,140.0,0,1,0.99,0.8828795181252758
76,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,30,100,140.0,0,1,0.99,0.8483200771119505
77,M3_dynamic_no_aug,S4_sla_upgrade,42,0.5,100,100,30,100,140.0,0,1,0.99,0.9151590840336475
78,M3_dynamic_no_aug,S4_sla_upgrade,42,-1.6475864417469854,80,80,40,80,80.0,1,1,0.99,0.9198110689063921
79,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6602429646472833,90,90,30,90,120.0,0,1,0.99,0.902061761200374
80,M3_dynamic_no_aug,S4_sla_upgrade,42,0.8613200374486969,80,80,0,80,160.0,0,1,0.99,1.009173245828483
81,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6861700278508062,90,90,10,90,160.0,0,1,0.99,0.9743879016937003
82,M3_dynamic_no_aug,S4_sla_upgrade,42,0.6700590009445524,90,90,50,90,80.0,0,1,0.99,1.078368965006404
83,M3_dynamic_no_aug,S4_sla_upgrade,42,1.1483355513806746,70,70,60,70,20.0,0,1,0.99,1.0413354313997611
84,M3_dynamic_no_aug,S4_sla_upgrade,42,0.9482419932991506,80,80,60,80,40.0,0,1,0.99,1.0342905702430203
85,M3_dynamic_no_aug,S4_sla_upgrade,42,1.1796805994687547,70,70,60,70,20.0,0,1,0.99,1.113347232019677
86,M3_dynamic_no_aug,S4_sla_upgrade,42,1.1631836958973873,70,70,0,70,140.0,0,1,0.99,1.0720114510775682
87,M3_dynamic_no_aug,S4_sla_upgrade,42,1.2013287173211076,70,70,60,70,20.0,0,1,0.99,1.0663192786888696
