scenario,comparison,retrieval_arm,baseline_arm,metric,seed42_delta,seed43_delta,seed44_delta,mean_delta,std_delta,n_valid,improvement_direction
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,reward,-0.04847464106241672,-0.1564710984349872,-0.1572697492700239,-0.12073849625580928,0.05109930225451734,3,positive
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,urllc_violation_rate,0.011999999999999983,0.06079999999999999,0.05919999999999999,0.043999999999999984,0.022636843125017823,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,mean_D_proj,1.3279999999999959,-1.6239999999999988,0.6640000000000086,0.12266666666666855,1.2644781092960398,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,shield_correction_rate,-0.013999999999999957,0.04560000000000006,-0.0040000000000000036,0.009200000000000033,0.026060442564673904,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,fallback_rate,1.0,1.0,1.0,1.0,0.0,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,p_min_parity_rate,-0.24360000000000004,-0.24440000000000006,-0.24519999999999997,-0.24440000000000003,0.0006531972647421542,3,positive
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,unsafe_under_reservation_rate,0.132,0.1328,0.1336,0.1328,0.0006531972647421769,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,mean_under_reservation_prb,1.452,1.5,1.512,1.4880000000000002,0.025922962793631467,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,mean_over_reservation_prb,1.116,1.116,1.116,1.116,0.0,3,negative
S6_moderate_decay,no_retrieval_z-minus-oracle_z,no_retrieval_z,oracle_z,mean_abs_delta_p_min_vs_oracle,2.568,2.616,2.628,2.604,0.025922962793631463,3,negative
