scenario,seed,episode,t_event,retrieval_arm,p_min,p_min_oracle,delta_p_min,under_reservation,over_reservation,fallback_used,unsafe_under_reservation,D_proj,reward,violation,z_mode,verifier_on
S6_moderate_decay,42,0,0,oracle_z,40,40,0,0,0,false,false,40,1.5840541829779415,false,oracle,true
S6_moderate_decay,42,0,250,oracle_z,60,60,0,0,0,false,false,0,0.7472845294197599,false,oracle,true
S6_moderate_decay,42,1,0,oracle_z,40,40,0,0,0,false,false,40,1.5219353614686713,false,oracle,true
S6_moderate_decay,42,1,250,oracle_z,60,60,0,0,0,false,false,0,0.7428818126701863,false,oracle,true
S6_moderate_decay,42,2,0,oracle_z,40,40,0,0,0,false,false,40,1.546268007612115,false,oracle,true
S6_moderate_decay,42,2,250,oracle_z,60,60,0,0,0,false,false,0,0.7128413729534843,false,oracle,true
S6_moderate_decay,42,3,0,oracle_z,40,40,0,0,0,false,false,40,1.539204244254715,false,oracle,true
S6_moderate_decay,42,3,250,oracle_z,60,60,0,0,0,false,false,0,0.7193951196571194,false,oracle,true
S6_moderate_decay,42,4,0,oracle_z,40,40,0,0,0,false,false,40,1.5753066131044733,false,oracle,true
S6_moderate_decay,42,4,250,oracle_z,60,60,0,0,0,false,false,0,0.7439637824762781,false,oracle,true
S6_moderate_decay,43,0,0,oracle_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,oracle,true
S6_moderate_decay,43,0,250,oracle_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,oracle,true
S6_moderate_decay,43,1,0,oracle_z,40,40,0,0,0,false,false,0,1.3476260928743338,false,oracle,true
S6_moderate_decay,43,1,250,oracle_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,oracle,true
S6_moderate_decay,43,2,0,oracle_z,40,40,0,0,0,false,false,0,1.3854474543446258,false,oracle,true
S6_moderate_decay,43,2,250,oracle_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,oracle,true
S6_moderate_decay,43,3,0,oracle_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,oracle,true
S6_moderate_decay,43,3,250,oracle_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,oracle,true
S6_moderate_decay,43,4,0,oracle_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,oracle,true
S6_moderate_decay,43,4,250,oracle_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,oracle,true
S6_moderate_decay,44,0,0,oracle_z,40,40,0,0,0,false,false,20,1.5004835969451102,false,oracle,true
S6_moderate_decay,44,0,250,oracle_z,60,60,0,0,0,false,false,0,0.5,false,oracle,true
S6_moderate_decay,44,1,0,oracle_z,40,40,0,0,0,false,false,20,1.3476260928743338,false,oracle,true
S6_moderate_decay,44,1,250,oracle_z,60,60,0,0,0,false,false,0,0.749218684112871,false,oracle,true
S6_moderate_decay,44,2,0,oracle_z,40,40,0,0,0,false,false,20,1.3854474543446258,false,oracle,true
S6_moderate_decay,44,2,250,oracle_z,60,60,0,0,0,false,false,0,0.5,false,oracle,true
S6_moderate_decay,44,3,0,oracle_z,40,40,0,0,0,false,false,20,1.5275737151797555,false,oracle,true
S6_moderate_decay,44,3,250,oracle_z,60,60,0,0,0,false,false,0,0.5,false,oracle,true
S6_moderate_decay,44,4,0,oracle_z,40,40,0,0,0,false,false,20,1.513319544273078,false,oracle,true
S6_moderate_decay,44,4,250,oracle_z,60,60,0,0,0,false,false,0,0.5,false,oracle,true
S6_moderate_decay,42,0,0,no_retrieval_z,40,40,0,0,0,true,false,40,1.5840541829779415,false,cer,true
S6_moderate_decay,42,0,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7472845294197599,false,cer,true
S6_moderate_decay,42,1,0,no_retrieval_z,50,40,10,0,10,true,false,60,1.3854203797054485,false,cer,true
S6_moderate_decay,42,1,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7428818126701863,false,cer,true
S6_moderate_decay,42,2,0,no_retrieval_z,50,40,10,0,10,true,false,60,1.3719316643786004,false,cer,true
S6_moderate_decay,42,2,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7128413729534843,false,cer,true
S6_moderate_decay,42,3,0,no_retrieval_z,40,40,0,0,0,true,false,40,1.539204244254715,false,cer,true
S6_moderate_decay,42,3,250,no_retrieval_z,70,70,0,0,0,true,false,0,0.7193951196571194,false,cer,true
S6_moderate_decay,42,4,0,no_retrieval_z,50,40,10,0,10,true,false,60,1.3975288353266957,false,cer,true
S6_moderate_decay,42,4,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7439637824762781,false,cer,true
S6_moderate_decay,43,0,0,no_retrieval_z,40,40,0,0,0,true,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,0,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,1,0,no_retrieval_z,50,40,10,0,10,true,false,0,1.3476260928743338,false,cer,true
S6_moderate_decay,43,1,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,2,0,no_retrieval_z,50,40,10,0,10,true,false,0,1.3854474543446258,false,cer,true
S6_moderate_decay,43,2,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,3,0,no_retrieval_z,40,40,0,0,0,true,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,3,250,no_retrieval_z,70,70,0,0,0,true,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,4,0,no_retrieval_z,50,40,10,0,10,true,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,4,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,44,0,0,no_retrieval_z,40,40,0,0,0,true,false,20,1.5004835969451102,false,cer,true
S6_moderate_decay,44,0,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7514200424876577,false,cer,true
S6_moderate_decay,44,1,0,no_retrieval_z,50,40,10,0,10,true,false,40,1.3476260928743338,false,cer,true
S6_moderate_decay,44,1,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.749218684112871,false,cer,true
S6_moderate_decay,44,2,0,no_retrieval_z,50,40,10,0,10,true,false,40,1.3854474543446258,false,cer,true
S6_moderate_decay,44,2,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7341984642545198,false,cer,true
S6_moderate_decay,44,3,0,no_retrieval_z,40,40,0,0,0,true,false,20,1.5275737151797555,false,cer,true
S6_moderate_decay,44,3,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.5,false,cer,true
S6_moderate_decay,44,4,0,no_retrieval_z,50,40,10,0,10,true,false,40,1.3888888888888888,false,cer,true
S6_moderate_decay,44,4,250,no_retrieval_z,60,60,0,0,0,true,false,0,0.7497596690159168,false,cer,true
S6_moderate_decay,42,0,0,ordinary_rag_z,40,40,0,0,0,false,false,40,1.5840541829779415,false,cer,true
S6_moderate_decay,42,0,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7472845294197599,false,cer,true
S6_moderate_decay,42,1,0,ordinary_rag_z,50,40,10,0,10,false,false,60,1.3854203797054485,false,cer,true
S6_moderate_decay,42,1,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7428818126701863,false,cer,true
S6_moderate_decay,42,2,0,ordinary_rag_z,50,40,10,0,10,false,false,60,1.3719316643786004,false,cer,true
S6_moderate_decay,42,2,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7128413729534843,false,cer,true
S6_moderate_decay,42,3,0,ordinary_rag_z,40,40,0,0,0,false,false,40,1.539204244254715,false,cer,true
S6_moderate_decay,42,3,250,ordinary_rag_z,70,70,0,0,0,false,false,0,0.7193951196571194,false,cer,true
S6_moderate_decay,42,4,0,ordinary_rag_z,50,40,10,0,10,false,false,60,1.3975288353266957,false,cer,true
S6_moderate_decay,42,4,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7439637824762781,false,cer,true
S6_moderate_decay,43,0,0,ordinary_rag_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,0,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,1,0,ordinary_rag_z,50,40,10,0,10,false,false,0,1.3476260928743338,false,cer,true
S6_moderate_decay,43,1,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,2,0,ordinary_rag_z,50,40,10,0,10,false,false,0,1.3854474543446258,false,cer,true
S6_moderate_decay,43,2,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,3,0,ordinary_rag_z,40,40,0,0,0,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,3,250,ordinary_rag_z,70,70,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,43,4,0,ordinary_rag_z,50,40,10,0,10,false,false,0,1.3888888888888888,false,cer,true
S6_moderate_decay,43,4,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7555555555555555,false,cer,true
S6_moderate_decay,44,0,0,ordinary_rag_z,40,40,0,0,0,false,false,20,1.5004835969451102,false,cer,true
S6_moderate_decay,44,0,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7514200424876577,false,cer,true
S6_moderate_decay,44,1,0,ordinary_rag_z,50,40,10,0,10,false,false,40,1.3476260928743338,false,cer,true
S6_moderate_decay,44,1,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.749218684112871,false,cer,true
S6_moderate_decay,44,2,0,ordinary_rag_z,50,40,10,0,10,false,false,40,1.3854474543446258,false,cer,true
S6_moderate_decay,44,2,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.7341984642545198,false,cer,true
S6_moderate_decay,44,3,0,ordinary_rag_z,40,40,0,0,0,false,false,20,1.5275737151797555,false,cer,true
S6_moderate_decay,44,3,250,ordinary_rag_z,60,60,0,0,0,false,false,0,0.5,false,cer,true
